title,identifier,link,published,updated
02 January 2022 - Struts 2.5.28.3 General Availability,MYJVN-ALT-2022-0001-0001,https://struts.apache.org/announce-2022#a20220102,2022-01-04T00:00:00+09:00,2022-01-04T10:07:07+09:00
Download a Release of Apache Struts (2.5.28.3),MYJVN-ALT-2022-0001-0002,https://struts.apache.org/download.cgi#struts-ga,2022-01-04T00:00:00+09:00,2022-01-04T10:07:07+09:00
Download WordPress (5.8.3),MYJVN-ALT-2022-0002-0001,https://wordpress.org/download/,2022-01-07T00:00:00+09:00,2022-01-07T09:51:37+09:00
WordPress 5.8.3 Security and Maintenance Release,MYJVN-ALT-2022-0002-0002,https://wordpress.org/news/2022/01/wordpress-5-8-3-security-release/,2022-01-07T00:00:00+09:00,2022-01-07T09:51:37+09:00
Adobe Acrobat および Reader の脆弱性対策について(APSB22-01)(CVE-2021-44701等),MYJVN-ALT-2022-0004-0001,https://www.ipa.go.jp/security/ciadr/vul/20220112-adobereader.html,2022-01-12T00:00:00+09:00,2022-01-12T12:12:59+09:00
Security update available for Adobe Acrobat and Reader  | APSB22-01,MYJVN-ALT-2022-0004-0002,https://helpx.adobe.com/security/products/acrobat/apsb22-01.html,2022-01-12T00:00:00+09:00,2022-01-12T12:12:59+09:00
Microsoft 製品の脆弱性対策について(2022年1月),MYJVN-ALT-2022-0003-0001,https://www.ipa.go.jp/security/ciadr/vul/20220112-ms.html,2022-01-12T00:00:00+09:00,2022-01-12T12:11:45+09:00
2022 年 1 月のセキュリティ更新プログラム (月例),MYJVN-ALT-2022-0003-0002,https://msrc-blog.microsoft.com/2022/01/11/202201-security-updates/,2022-01-12T00:00:00+09:00,2022-01-12T12:11:45+09:00
Joomla! Downloads (3.10.5),MYJVN-ALT-2022-0005-0001,https://downloads.joomla.org/ja/cms/joomla3/3-10-5,2022-01-19T00:00:00+09:00,2022-01-19T10:01:37+09:00
Joomla! Downloads (4.0.6),MYJVN-ALT-2022-0005-0002,https://downloads.joomla.org/ja/cms/joomla4/4-0-6,2022-01-19T00:00:00+09:00,2022-01-19T10:01:37+09:00
Oracle Java の脆弱性対策について(CVE-2022-21349等),MYJVN-ALT-2022-0006-0001,https://www.ipa.go.jp/security/ciadr/vul/20220119-jre.html,2022-01-19T00:00:00+09:00,2022-01-19T12:11:22+09:00
Oracle Critical Patch Update Advisory - January 2022,MYJVN-ALT-2022-0006-0002,https://www.oracle.com/security-alerts/cpujan2022.html#AppendixJAVA,2022-01-19T00:00:00+09:00,2022-01-19T12:11:22+09:00
Downloads (9.16.25),MYJVN-ALT-2022-0007-0001,https://www.isc.org/downloads/,2022-01-20T00:00:00+09:00,2022-01-20T09:53:46+09:00
Tomcat 9 Software Downloads (9.0.58),MYJVN-ALT-2022-0008-0001,https://tomcat.apache.org/download-90.cgi,2022-01-21T00:00:00+09:00,2022-01-21T10:04:09+09:00
Tomcat 10 Software Downloads (10.0.16),MYJVN-ALT-2022-0008-0002,https://tomcat.apache.org/download-10.cgi,2022-01-21T00:00:00+09:00,2022-01-21T10:04:09+09:00
Tomcat 8 Software Downloads (8.5.75),MYJVN-ALT-2022-0008-0003,https://tomcat.apache.org/download-80.cgi,2022-01-21T00:00:00+09:00,2022-01-21T10:04:09+09:00
Fixed in Apache Tomcat 10.0.16,MYJVN-ALT-2022-0008-0004,https://tomcat.apache.org/security-10.html#Fixed_in_Apache_Tomcat_10.0.16,2022-01-27T00:00:00+09:00,2022-01-27T10:27:17+09:00
Fixed in Apache Tomcat 9.0.58,MYJVN-ALT-2022-0008-0005,https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.58,2022-01-27T00:00:00+09:00,2022-01-27T10:27:17+09:00
Fixed in Apache Tomcat 8.5.75,MYJVN-ALT-2022-0008-0006,https://tomcat.apache.org/security-8.html#Fixed_in_Apache_Tomcat_8.5.75,2022-01-27T00:00:00+09:00,2022-01-27T10:27:17+09:00
Download a Release of Apache Struts (2.5.29),MYJVN-ALT-2022-0009-0001,https://struts.apache.org/download.cgi#struts-ga,2022-01-24T00:00:00+09:00,2022-01-24T10:18:16+09:00
Download WordPress (5.9),MYJVN-ALT-2022-0010-0001,https://wordpress.org/download/,2022-01-26T00:00:00+09:00,2022-01-26T09:58:45+09:00
Downloads (9.18.0),MYJVN-ALT-2022-0011-0001,https://www.isc.org/downloads/,2022-01-27T00:00:00+09:00,2022-01-27T10:19:19+09:00
OpenSSL Security Advisory [28 January 2022],MYJVN-ALT-2022-0012-0001,https://www.openssl.org/news/secadv/20220128.txt,2022-01-31T00:00:00+09:00,2022-01-31T09:55:41+09:00
Microsoft 製品の脆弱性対策について(2022年2月),MYJVN-ALT-2022-0013-0001,https://www.ipa.go.jp/security/ciadr/vul/20220209-ms.html,2022-02-09T00:00:00+09:00,2022-02-09T12:20:31+09:00
2022 年 2 月のセキュリティ更新プログラム (月例),MYJVN-ALT-2022-0013-0002,https://msrc-blog.microsoft.com/2022/02/08/202202-security-updates/,2022-02-09T00:00:00+09:00,2022-02-09T12:20:31+09:00
